Date,Close
1/2/2018 16:00:00,53.66
1/3/2018 16:00:00,54.58
1/4/2018 16:00:00,54.79
1/5/2018 16:00:00,55.51
1/8/2018 16:00:00,55.71
1/9/2018 16:00:00,55.64
1/10/2018 16:00:00,55.51
1/11/2018 16:00:00,55.6
1/12/2018 16:00:00,56.53
1/16/2018 16:00:00,56.54
1/17/2018 16:00:00,56.96
1/18/2018 16:00:00,56.8
1/19/2018 16:00:00,57.18
1/22/2018 16:00:00,58.21
1/23/2018 16:00:00,58.81
1/24/2018 16:00:00,58.56
1/25/2018 16:00:00,59.11
1/26/2018 16:00:00,59.38
1/29/2018 16:00:00,59.32
1/30/2018 16:00:00,58.87
1/31/2018 16:00:00,59.11
2/1/2018 16:00:00,59.08
2/2/2018 16:00:00,55.96
2/5/2018 16:00:00,53.12
2/6/2018 16:00:00,54.22
2/7/2018 16:00:00,52.77
2/8/2018 16:00:00,50.39
2/9/2018 16:00:00,52.31
2/12/2018 16:00:00,52.73
2/13/2018 16:00:00,52.71
2/14/2018 16:00:00,53.64
2/15/2018 16:00:00,54.57
2/16/2018 16:00:00,54.78
2/20/2018 16:00:00,55.18
2/21/2018 16:00:00,55.69
2/22/2018 16:00:00,55.5
2/23/2018 16:00:00,56.4
2/26/2018 16:00:00,57.19
2/27/2018 16:00:00,55.88
2/28/2018 16:00:00,55.2
3/1/2018 16:00:00,53.57
3/2/2018 16:00:00,54.21
3/5/2018 16:00:00,54.74
3/6/2018 16:00:00,55.05
3/7/2018 16:00:00,55.75
3/8/2018 16:00:00,56.47
3/9/2018 16:00:00,58.04
3/12/2018 16:00:00,58.3
3/13/2018 16:00:00,57
3/14/2018 16:00:00,57.44
3/15/2018 16:00:00,57.53
3/16/2018 16:00:00,56.72
3/19/2018 16:00:00,55
3/20/2018 16:00:00,54.79
3/21/2018 16:00:00,54.7
3/22/2018 16:00:00,52.66
3/23/2018 16:00:00,51.33
3/26/2018 16:00:00,52.7
3/27/2018 16:00:00,50.35
3/28/2018 16:00:00,50.26
3/29/2018 16:00:00,51.86
4/2/2018 16:00:00,50.63
4/3/2018 16:00:00,50.93
4/4/2018 16:00:00,51.49
4/5/2018 16:00:00,51.63
4/6/2018 16:00:00,50.5
4/9/2018 16:00:00,51
4/10/2018 16:00:00,51.83
4/11/2018 16:00:00,51.25
4/12/2018 16:00:00,51.86
4/13/2018 16:00:00,51.8
4/16/2018 16:00:00,52.31
4/17/2018 16:00:00,53.97
4/18/2018 16:00:00,53.77
4/19/2018 16:00:00,54.47
4/20/2018 16:00:00,53.87
4/23/2018 16:00:00,53.69
4/24/2018 16:00:00,51.13
4/25/2018 16:00:00,51.15
4/26/2018 16:00:00,52.17
4/27/2018 16:00:00,51.57
4/30/2018 16:00:00,50.93
5/1/2018 16:00:00,52.04
5/2/2018 16:00:00,51.3
5/3/2018 16:00:00,51.32
5/4/2018 16:00:00,52.55
5/7/2018 16:00:00,52.97
5/8/2018 16:00:00,52.93
5/9/2018 16:00:00,54.45
5/10/2018 16:00:00,55.27
5/11/2018 16:00:00,55.17
5/14/2018 16:00:00,55.33
5/15/2018 16:00:00,54.24
5/16/2018 16:00:00,54.2
5/17/2018 16:00:00,54.06
5/18/2018 16:00:00,53.48
5/21/2018 16:00:00,54.2
5/22/2018 16:00:00,53.77
5/23/2018 16:00:00,54.3
5/24/2018 16:00:00,54.27
5/25/2018 16:00:00,54.2
5/29/2018 16:00:00,53.4
5/30/2018 16:00:00,53.87
5/31/2018 16:00:00,55
6/1/2018 16:00:00,56.75
6/4/2018 16:00:00,57.65
6/5/2018 16:00:00,57.55
6/6/2018 16:00:00,57.35
6/7/2018 16:00:00,56.72
6/8/2018 16:00:00,56.64
6/11/2018 16:00:00,57.05
6/12/2018 16:00:00,57.41
6/13/2018 16:00:00,57.21
6/14/2018 16:00:00,58.01
