Date,Close
2019-01-02 05:00:00+00:00,135.41
2019-01-03 05:00:00+00:00,131.8902
2019-01-04 05:00:00+00:00,137.94
2019-01-07 05:00:00+00:00,138.23
2019-01-08 05:00:00+00:00,142.5843
2019-01-09 05:00:00+00:00,144.25
2019-01-10 05:00:00+00:00,144.15
2019-01-11 05:00:00+00:00,143.7205
2019-01-14 05:00:00+00:00,145.63
2019-01-15 05:00:00+00:00,148.82
2019-01-16 05:00:00+00:00,147.43
2019-01-17 05:00:00+00:00,148.0684
2019-01-18 05:00:00+00:00,149.99
2019-01-22 05:00:00+00:00,147.245
2019-01-23 05:00:00+00:00,144.07
2019-01-24 05:00:00+00:00,145.74
2019-01-25 05:00:00+00:00,149.0944
2019-01-28 05:00:00+00:00,147.37
2019-01-29 05:00:00+00:00,144.115
2019-01-30 05:00:00+00:00,150.3
2019-01-31 05:00:00+00:00,166.8
2019-02-01 05:00:00+00:00,165.83
2019-02-04 05:00:00+00:00,168.935
2019-02-05 05:00:00+00:00,170.9434
2019-02-06 05:00:00+00:00,170.48
2019-02-07 05:00:00+00:00,165.97
2019-02-08 05:00:00+00:00,167.2
2019-02-11 05:00:00+00:00,165.59
2019-02-12 05:00:00+00:00,164.94
2019-02-13 05:00:00+00:00,164.08
2019-02-14 05:00:00+00:00,163.97
2019-02-15 05:00:00+00:00,162.4101
2019-02-19 05:00:00+00:00,162.1166
2019-02-20 05:00:00+00:00,162.62
2019-02-21 05:00:00+00:00,160.09
2019-02-22 05:00:00+00:00,161.84
2019-02-25 05:00:00+00:00,164.63
2019-02-26 05:00:00+00:00,164.05
2019-02-27 05:00:00+00:00,162.81
2019-02-28 05:00:00+00:00,161.5
2019-03-01 05:00:00+00:00,162.28
2019-03-04 05:00:00+00:00,167.47
2019-03-05 05:00:00+00:00,171.25
2019-03-06 05:00:00+00:00,172.51
2019-03-07 05:00:00+00:00,169.14
2019-03-08 05:00:00+00:00,169.6
2019-03-11 04:00:00+00:00,171.98
2019-03-12 04:00:00+00:00,171.94
2019-03-13 04:00:00+00:00,173.37
2019-03-14 04:00:00+00:00,170.26
2019-03-15 04:00:00+00:00,166.01
2019-03-18 04:00:00+00:00,160.47
2019-03-19 04:00:00+00:00,161.63
2019-03-20 04:00:00+00:00,165.47
2019-03-21 04:00:00+00:00,166.08
2019-03-22 04:00:00+00:00,164.34
2019-03-25 04:00:00+00:00,166.27
2019-03-26 04:00:00+00:00,167.68
2019-03-27 04:00:00+00:00,165.84
2019-03-28 04:00:00+00:00,165.51
2019-03-29 04:00:00+00:00,166.66
2019-04-01 04:00:00+00:00,168.69
2019-04-02 04:00:00+00:00,174.23
2019-04-03 04:00:00+00:00,173.51
2019-04-04 04:00:00+00:00,176.01
2019-04-05 04:00:00+00:00,175.7
2019-04-08 04:00:00+00:00,174.91
2019-04-09 04:00:00+00:00,177.66
2019-04-10 04:00:00+00:00,177.83
2019-04-11 04:00:00+00:00,177.5
2019-04-12 04:00:00+00:00,179.08
2019-04-15 04:00:00+00:00,179.66
2019-04-16 04:00:00+00:00,178.85
2019-04-17 04:00:00+00:00,178.78
2019-04-18 04:00:00+00:00,178.32
2019-04-22 04:00:00+00:00,181.49
2019-04-23 04:00:00+00:00,183.77
2019-04-24 04:00:00+00:00,182.63
2019-04-25 04:00:00+00:00,193.1705
2019-04-26 04:00:00+00:00,191.49
2019-04-29 04:00:00+00:00,194.78
2019-04-30 04:00:00+00:00,193.37
2019-05-01 04:00:00+00:00,193.04
2019-05-02 04:00:00+00:00,192.51
2019-05-03 04:00:00+00:00,195.47
2019-05-06 04:00:00+00:00,193.88
2019-05-07 04:00:00+00:00,189.88
2019-05-08 04:00:00+00:00,189.54
2019-05-09 04:00:00+00:00,188.64
2019-05-10 04:00:00+00:00,188.46
2019-05-13 04:00:00+00:00,181.45
2019-05-14 04:00:00+00:00,180.73
2019-05-15 04:00:00+00:00,186.27
2019-05-16 04:00:00+00:00,186.98
2019-05-17 04:00:00+00:00,185.24
2019-05-20 04:00:00+00:00,182.69
2019-05-21 04:00:00+00:00,184.79
2019-05-22 04:00:00+00:00,185.29
2019-05-23 04:00:00+00:00,180.87
2019-05-24 04:00:00+00:00,181.07
2019-05-28 04:00:00+00:00,184.31
2019-05-29 04:00:00+00:00,182.19
2019-05-30 04:00:00+00:00,183.01
2019-05-31 04:00:00+00:00,177.4
2019-06-03 04:00:00+00:00,164.01
2019-06-04 04:00:00+00:00,167.52
2019-06-05 04:00:00+00:00,168.15
2019-06-06 04:00:00+00:00,168.32
2019-06-07 04:00:00+00:00,173.34
2019-06-10 04:00:00+00:00,174.83
2019-06-11 04:00:00+00:00,178.12
2019-06-12 04:00:00+00:00,175.05
2019-06-13 04:00:00+00:00,177.49
2019-06-14 04:00:00+00:00,181.33
2019-06-17 04:00:00+00:00,189.04
2019-06-18 04:00:00+00:00,188.52
2019-06-19 04:00:00+00:00,187.44
2019-06-20 04:00:00+00:00,189.31
